,Unnamed: 0,Clase,Clase1,Clase2,Clase3,Clase4,Clase5,Predicciones
0,0,1,1287.0,498.0,496.0,357.0,512.0,1
1,1,1,2108.0,1053.0,810.0,336.0,587.0,1
2,2,1,1501.0,1209.0,1355.0,776.0,1459.0,1
3,3,1,1315.0,1355.0,1116.0,951.0,1320.0,1
4,4,1,1575.0,786.0,947.0,552.0,669.0,1
5,5,1,1700.0,1090.0,719.0,582.0,989.0,1
6,6,1,1594.0,1544.0,1234.0,1411.0,965.0,1
7,7,1,1436.0,874.0,961.0,884.0,632.0,1
8,8,1,1329.0,815.0,835.0,1083.0,586.0,1
9,9,1,1578.0,1649.0,1525.0,1943.0,1089.0,4
10,10,1,1487.0,942.0,608.0,387.0,1052.0,1
11,11,1,1672.0,2027.0,1177.0,860.0,1398.0,2
12,12,1,1236.0,754.0,522.0,512.0,593.0,1
13,13,1,1320.0,1168.0,906.0,1085.0,758.0,1
14,14,1,1685.0,667.0,596.0,599.0,714.0,1
15,15,1,1090.0,1353.0,1781.0,386.0,563.0,3
16,16,1,887.0,413.0,715.0,228.0,386.0,1
17,17,1,425.0,425.0,761.0,303.0,477.0,3
18,18,1,579.0,285.0,358.0,195.0,487.0,1
19,19,1,1039.0,654.0,1252.0,616.0,317.0,3
20,20,1,1043.0,918.0,847.0,960.0,648.0,1
21,21,1,1185.0,661.0,690.0,562.0,1130.0,1
22,22,1,1116.0,616.0,1219.0,457.0,738.0,3
23,23,1,589.0,618.0,863.0,569.0,340.0,3
24,24,1,704.0,488.0,420.0,354.0,422.0,1
25,25,1,710.0,508.0,1093.0,514.0,363.0,3
26,26,1,689.0,331.0,889.0,191.0,137.0,3
27,27,1,1203.0,791.0,786.0,722.0,734.0,1
28,28,1,930.0,339.0,417.0,206.0,428.0,1
29,29,1,1329.0,964.0,1325.0,612.0,1046.0,1
30,30,1,1510.0,463.0,485.0,317.0,396.0,1
31,31,1,759.0,649.0,742.0,499.0,664.0,1
32,32,1,1009.0,755.0,1432.0,1088.0,578.0,3
33,33,1,1598.0,910.0,1108.0,746.0,400.0,1
34,34,1,954.0,816.0,984.0,482.0,504.0,1
35,35,1,1458.0,995.0,822.0,1218.0,428.0,1
36,36,1,1240.0,870.0,1047.0,908.0,493.0,1
37,37,1,395.0,335.0,681.0,404.0,152.0,3
38,38,1,438.0,483.0,1180.0,470.0,105.0,3
39,39,1,910.0,620.0,1543.0,671.0,469.0,3
40,40,1,1101.0,871.0,1135.0,876.0,661.0,1
41,41,1,1034.0,708.0,1522.0,898.0,540.0,3
42,42,1,1220.0,828.0,1598.0,1280.0,374.0,3
43,43,1,1115.0,902.0,1284.0,1222.0,526.0,3
44,44,1,1057.0,519.0,958.0,425.0,499.0,1
45,45,1,790.0,549.0,540.0,408.0,278.0,1
46,46,1,759.0,737.0,1011.0,469.0,316.0,3
47,47,1,987.0,785.0,1079.0,514.0,498.0,3
48,48,1,642.0,520.0,524.0,438.0,500.0,1
49,49,1,1494.0,729.0,634.0,353.0,417.0,1
50,50,1,1279.0,1352.0,1624.0,936.0,1096.0,3
51,51,1,903.0,541.0,911.0,387.0,923.0,1
52,52,1,687.0,480.0,755.0,232.0,300.0,1
53,53,1,870.0,347.0,993.0,313.0,209.0,3
54,54,1,969.0,254.0,545.0,177.0,272.0,1
55,55,1,1215.0,1069.0,894.0,747.0,732.0,1
56,56,1,1169.0,900.0,880.0,731.0,685.0,1
57,57,1,1331.0,536.0,785.0,411.0,401.0,1
58,58,1,1424.0,851.0,895.0,678.0,1139.0,1
59,59,1,1108.0,910.0,1187.0,824.0,560.0,3
60,60,1,1201.0,882.0,844.0,1037.0,1597.0,1
61,61,1,903.0,437.0,420.0,472.0,383.0,1
62,62,1,1060.0,290.0,421.0,414.0,234.0,1
63,63,1,887.0,301.0,337.0,358.0,308.0,1
64,64,1,1416.0,591.0,905.0,573.0,548.0,1
65,65,1,1225.0,638.0,611.0,761.0,800.0,1
66,66,1,963.0,974.0,785.0,1483.0,267.0,4
67,67,1,959.0,739.0,734.0,995.0,336.0,1
68,68,1,1625.0,1434.0,1403.0,1015.0,310.0,1
69,69,1,1385.0,541.0,552.0,557.0,399.0,1
70,70,1,1123.0,816.0,646.0,730.0,409.0,1
71,71,1,1565.0,734.0,544.0,373.0,778.0,1
72,72,1,1477.0,858.0,1146.0,954.0,1268.0,1
73,73,1,1300.0,1272.0,1475.0,769.0,717.0,3
74,74,1,1382.0,819.0,1356.0,1196.0,1733.0,1
75,75,1,721.0,664.0,495.0,564.0,993.0,5
76,76,1,995.0,905.0,711.0,484.0,684.0,1
77,77,1,1014.0,664.0,722.0,875.0,185.0,1
78,78,1,1147.0,829.0,846.0,1079.0,327.0,1
79,79,1,993.0,721.0,831.0,930.0,372.0,1
80,80,1,975.0,569.0,546.0,505.0,395.0,1
81,81,1,1311.0,322.0,296.0,280.0,243.0,1
82,82,1,1220.0,519.0,421.0,630.0,504.0,1
83,83,1,830.0,815.0,797.0,1088.0,324.0,4
84,84,1,1166.0,1220.0,1259.0,1012.0,1301.0,3
85,85,1,1524.0,845.0,964.0,997.0,1009.0,1
86,86,1,1118.0,489.0,484.0,449.0,394.0,1
87,87,1,975.0,513.0,642.0,573.0,431.0,1
88,88,1,1480.0,646.0,603.0,625.0,1242.0,1
89,89,1,925.0,545.0,498.0,425.0,750.0,1
90,90,1,1095.0,552.0,478.0,603.0,640.0,1
91,91,1,941.0,613.0,720.0,627.0,905.0,1
92,92,1,1203.0,744.0,629.0,752.0,439.0,1
93,93,1,1125.0,691.0,734.0,756.0,611.0,1
94,94,1,1255.0,620.0,662.0,736.0,702.0,1
95,95,1,993.0,806.0,861.0,1217.0,691.0,1
96,96,1,892.0,417.0,365.0,387.0,495.0,1
97,97,1,924.0,615.0,577.0,482.0,459.0,1
98,98,1,1349.0,784.0,775.0,466.0,344.0,1
99,99,1,979.0,827.0,781.0,667.0,291.0,1
100,100,1,1071.0,927.0,676.0,389.0,385.0,1
101,101,1,1505.0,964.0,916.0,1070.0,741.0,1
102,102,1,956.0,525.0,472.0,482.0,954.0,1
103,103,1,1069.0,458.0,519.0,432.0,612.0,1
104,104,1,1172.0,743.0,622.0,870.0,238.0,1
105,105,1,940.0,575.0,519.0,366.0,604.0,1
106,106,1,996.0,780.0,824.0,494.0,341.0,1
107,107,1,731.0,289.0,402.0,395.0,175.0,1
108,108,1,663.0,340.0,419.0,354.0,598.0,1
109,109,1,1002.0,700.0,790.0,698.0,471.0,1
110,110,1,475.0,541.0,533.0,573.0,426.0,4
111,111,1,1266.0,944.0,1094.0,918.0,522.0,1
112,112,1,1374.0,1055.0,881.0,564.0,625.0,1
113,113,1,798.0,508.0,506.0,445.0,393.0,1
114,114,1,1158.0,794.0,750.0,766.0,810.0,1
115,115,1,1355.0,1206.0,934.0,829.0,944.0,1
116,116,1,738.0,550.0,651.0,515.0,365.0,1
117,117,1,694.0,818.0,583.0,414.0,739.0,2
118,118,1,721.0,620.0,638.0,428.0,654.0,1
119,119,1,1282.0,740.0,741.0,737.0,543.0,1
120,120,1,861.0,455.0,644.0,737.0,1040.0,1
121,121,1,1329.0,1218.0,1371.0,1271.0,1080.0,1
122,122,1,724.0,787.0,794.0,624.0,658.0,3
123,123,1,1140.0,1034.0,1339.0,786.0,370.0,3
124,124,1,1060.0,310.0,302.0,341.0,603.0,1
125,125,1,1179.0,643.0,613.0,559.0,734.0,1
126,126,1,695.0,415.0,482.0,495.0,328.0,1
127,127,1,1432.0,905.0,717.0,586.0,545.0,1
128,128,1,874.0,578.0,571.0,605.0,301.0,1
129,129,1,1431.0,1167.0,980.0,756.0,896.0,1
130,130,1,606.0,555.0,522.0,322.0,890.0,5
131,131,1,1208.0,891.0,725.0,797.0,572.0,1
132,132,1,848.0,419.0,281.0,123.0,285.0,1
133,133,1,1021.0,1358.0,918.0,708.0,878.0,2
134,134,1,902.0,859.0,867.0,1095.0,938.0,4
135,135,1,646.0,506.0,564.0,604.0,629.0,1
136,136,1,755.0,474.0,471.0,401.0,490.0,1
137,137,1,758.0,768.0,832.0,1075.0,430.0,4
138,138,1,806.0,512.0,606.0,649.0,415.0,1
139,139,1,1189.0,724.0,666.0,762.0,545.0,1
140,140,1,1037.0,764.0,925.0,825.0,697.0,1
141,141,1,1260.0,536.0,634.0,472.0,623.0,1
142,142,1,929.0,550.0,632.0,662.0,460.0,1
143,143,1,480.0,471.0,647.0,708.0,270.0,4
144,144,1,1244.0,791.0,788.0,1190.0,257.0,1
145,145,1,910.0,588.0,572.0,520.0,458.0,1
146,146,1,994.0,736.0,864.0,541.0,845.0,1
147,147,1,1088.0,606.0,538.0,373.0,774.0,1
148,148,1,869.0,733.0,699.0,625.0,150.0,1
149,149,1,659.0,362.0,357.0,227.0,275.0,1
150,150,1,1123.0,551.0,636.0,849.0,383.0,1
151,151,1,1455.0,748.0,770.0,565.0,951.0,1
152,152,1,802.0,490.0,594.0,470.0,321.0,1
153,153,1,427.0,349.0,388.0,391.0,388.0,1
154,154,1,735.0,468.0,533.0,458.0,518.0,1
155,155,1,730.0,401.0,326.0,232.0,242.0,1
156,156,1,627.0,331.0,321.0,452.0,199.0,1
157,157,1,434.0,310.0,357.0,276.0,313.0,1
158,158,1,812.0,407.0,361.0,269.0,620.0,1
159,159,1,503.0,488.0,511.0,445.0,488.0,1
160,160,1,1129.0,825.0,846.0,866.0,1147.0,1
161,161,1,676.0,262.0,290.0,301.0,448.0,1
162,162,1,839.0,218.0,228.0,236.0,347.0,1
163,163,1,435.0,357.0,414.0,317.0,370.0,1
164,164,1,701.0,787.0,922.0,634.0,835.0,3
165,165,1,340.0,298.0,292.0,221.0,586.0,5
166,166,1,987.0,807.0,873.0,706.0,1407.0,5
167,167,1,505.0,369.0,387.0,282.0,327.0,1
168,168,1,955.0,749.0,741.0,586.0,855.0,1
169,169,1,641.0,473.0,442.0,302.0,248.0,1
170,170,1,960.0,892.0,741.0,466.0,722.0,1
171,171,1,1217.0,734.0,672.0,440.0,998.0,1
172,172,1,1024.0,419.0,352.0,280.0,700.0,1
173,173,1,941.0,716.0,594.0,276.0,246.0,1
174,174,1,1125.0,481.0,417.0,300.0,715.0,1
175,175,1,1534.0,953.0,964.0,648.0,777.0,1
176,176,1,1158.0,906.0,851.0,877.0,695.0,1
177,177,1,1171.0,642.0,699.0,396.0,298.0,1
178,178,1,635.0,604.0,456.0,362.0,341.0,1
179,179,1,821.0,257.0,239.0,181.0,211.0,1
180,180,1,994.0,1012.0,1054.0,852.0,651.0,3
181,181,1,941.0,688.0,1291.0,589.0,389.0,3
182,182,1,1289.0,1060.0,956.0,1046.0,930.0,1
183,183,1,1502.0,824.0,882.0,1383.0,935.0,1
184,184,1,1004.0,747.0,689.0,728.0,458.0,1
185,185,1,1248.0,934.0,912.0,947.0,778.0,1
186,186,1,408.0,336.0,372.0,463.0,468.0,1
187,187,1,1753.0,1049.0,1299.0,925.0,977.0,1
188,188,1,1925.0,1534.0,1769.0,2163.0,3256.0,5
189,189,1,789.0,315.0,351.0,396.0,411.0,1
190,190,1,751.0,380.0,412.0,454.0,331.0,1
191,191,1,1657.0,940.0,976.0,1094.0,1020.0,1
192,192,1,544.0,143.0,165.0,182.0,141.0,1
193,193,1,1555.0,933.0,957.0,1071.0,1284.0,1
194,194,1,257.0,179.0,235.0,270.0,229.0,1
195,195,1,1091.0,560.0,589.0,466.0,643.0,1
196,196,1,389.0,362.0,466.0,274.0,479.0,1
197,197,1,262.0,247.0,311.0,262.0,252.0,1
198,198,1,600.0,325.0,280.0,215.0,239.0,1
199,199,1,1021.0,494.0,453.0,374.0,801.0,1
200,200,1,814.0,773.0,520.0,463.0,324.0,1
201,201,1,659.0,492.0,929.0,450.0,815.0,3
202,202,1,984.0,608.0,733.0,570.0,775.0,1
203,203,1,955.0,717.0,860.0,798.0,410.0,1
204,204,1,805.0,431.0,426.0,422.0,477.0,1
205,205,1,470.0,500.0,596.0,437.0,367.0,3
206,206,1,785.0,530.0,557.0,532.0,458.0,1
207,207,1,704.0,389.0,497.0,309.0,415.0,1
208,208,1,790.0,731.0,764.0,1028.0,467.0,4
209,209,1,754.0,506.0,597.0,515.0,731.0,1
210,210,1,581.0,584.0,575.0,519.0,692.0,1
211,211,1,401.0,383.0,347.0,194.0,387.0,1
212,212,1,831.0,518.0,424.0,294.0,290.0,1
213,213,1,1621.0,1323.0,1073.0,851.0,1291.0,1
214,214,1,826.0,532.0,551.0,301.0,322.0,1
215,215,1,1067.0,904.0,739.0,537.0,256.0,1
216,216,1,1261.0,768.0,663.0,511.0,502.0,1
217,217,1,1469.0,1074.0,876.0,325.0,829.0,1
218,218,1,957.0,513.0,476.0,358.0,595.0,1
219,219,1,1116.0,707.0,615.0,375.0,945.0,1
220,220,1,954.0,312.0,302.0,235.0,490.0,1
221,221,1,470.0,406.0,405.0,369.0,698.0,5
222,222,1,1371.0,696.0,756.0,645.0,1017.0,1
223,223,1,668.0,698.0,711.0,511.0,1260.0,5
224,224,1,1225.0,889.0,787.0,390.0,815.0,1
225,225,1,1352.0,696.0,625.0,763.0,915.0,1
226,226,1,1182.0,1045.0,758.0,830.0,911.0,1
227,227,1,1700.0,1651.0,1078.0,825.0,1322.0,1
228,228,1,1211.0,1257.0,1201.0,1197.0,2003.0,5
229,229,1,1445.0,1534.0,1351.0,1340.0,1569.0,1
230,230,1,1215.0,1268.0,1040.0,968.0,715.0,1
231,231,1,1309.0,1293.0,847.0,828.0,473.0,1
232,232,1,1662.0,1275.0,1174.0,806.0,1125.0,1
233,233,1,1362.0,1104.0,1141.0,801.0,815.0,1
234,234,1,1509.0,1445.0,1125.0,776.0,676.0,1
235,235,1,1401.0,538.0,525.0,478.0,578.0,1
