,Texto,Clase,Clase1,Clase2,Clase3,Clase4,Clase5,Predicción
9,"['arabia', 'year', 'follow', 'death', 'seri', 'civil', 'war', 'tore', 'empir', 'apart', 'result', 'establish', 'sever', 'state', 'rule', 'diadochi', ""alexander'"", 'surviv', 'gener', 'heir']",1,1578.0,1649.0,1525.0,1943.0,1089.0,4
11,"['colonist', 'result', 'spread', 'greek', 'cultur', 'east', 'result', 'new', 'hellenist', 'civil', 'aspect', 'still', 'evid', 'tradit', 'byzantin', 'empir', 'mid', '15th', 'centuri', 'ad']",1,1672.0,2027.0,1177.0,860.0,1398.0,2
15,"['exact', 'date', 'uncertain', '9', 'son', 'king', 'macedon', 'philip', 'ii', 'fourth', 'wife', 'olympia', 'daughter', 'neoptolemu', 'king', 'epiru', '10', 'although', 'philip', 'seven']",1,1090.0,1353.0,1781.0,386.0,563.0,3
17,"['thunderbolt', 'caus', 'flame', 'spread', 'far', 'wide', 'die', 'away', 'sometim', 'wed', 'philip', 'said', 'seen', 'dream', 'secur', ""wife'"", 'womb', 'seal', 'engrav', ""lion'""]",1,425.0,425.0,761.0,303.0,477.0,3
19,"['day', 'alexand', 'born', 'philip', 'prepar', 'sieg', 'citi', 'potidea', 'peninsula', 'chalcidic', 'day', 'philip', 'receiv', 'news', 'gener', 'parmenion', 'defeat', 'combin', 'illyrian', 'paeonian']",1,1039.0,654.0,1252.0,616.0,317.0,3
22,"['alexand', 'ten', 'year', 'old', 'trader', 'thessali', 'brought', 'philip', 'hors', 'offer', 'sell', 'thirteen', 'talent', 'hors', 'refus', 'mount', 'philip', 'order', 'away', 'alexand']",1,1116.0,616.0,1219.0,457.0,738.0,3
23,"['howev', 'detect', ""horse'"", 'fear', 'shadow', 'ask', 'tame', 'hors', 'eventu', 'manag', '12', 'plutarch', 'state', 'philip', 'overjoy', 'display', 'courag', 'ambit', 'kiss', 'son']",1,589.0,618.0,863.0,569.0,340.0,3
25,"['alexand', '13', 'philip', 'began', 'search', 'tutor', 'consid', 'academ', 'isocr', 'speusippu', 'latter', 'offer', 'resign', 'stewardship', 'academi', 'take', 'post', 'end', 'philip', 'chose']",1,710.0,508.0,1093.0,514.0,363.0,3
26,"['aristotl', 'provid', 'templ', 'nymph', 'mieza', 'classroom', 'return', 'teach', 'alexand', 'philip', 'agre', 'rebuild', ""aristotle'"", 'hometown', 'stageira', 'philip', 'raze', 'repopul', 'buy', 'free']",1,689.0,331.0,889.0,191.0,137.0,3
32,"['age', '16', ""alexander'"", 'educ', 'aristotl', 'end', 'philip', 'wage', 'war', 'byzant', 'leav', 'alexand', 'charg', 'regent', 'heir', 'appar', '12', ""philip'"", 'absenc', 'thracian']",1,1009.0,755.0,1432.0,1088.0,578.0,3
37,"['athen', 'thebe', 'athenian', 'led', 'demosthen', 'vote', 'seek', 'allianc', 'thebe', 'macedonia', 'athen', 'philip', 'sent', 'embassi', 'win', 'thebe', 'favour', 'athen', 'contest', '30']",1,395.0,335.0,681.0,404.0,152.0,3
38,"['philip', 'march', 'amphissa', 'ostens', 'act', 'request', 'amphictyon', 'leagu', 'captur', 'mercenari', 'sent', 'demosthen', 'accept', ""city'"", 'surrend', 'philip', 'return', 'elatea', 'send', 'final']",1,438.0,483.0,1180.0,470.0,105.0,3
39,"['philip', 'march', 'south', 'oppon', 'block', 'near', 'chaeronea', 'boeotia', 'ensu', 'battl', 'chaeronea', 'philip', 'command', 'right', 'wing', 'alexand', 'left', 'accompani', 'group', ""philip'""]",1,910.0,620.0,1543.0,671.0,469.0,3
41,"['thu', 'break', 'line', 'alexand', 'first', 'break', 'theban', 'line', 'follow', ""philip'"", 'gener', 'damag', ""enemy'"", 'cohes', 'philip', 'order', 'troop', 'press', 'forward', 'quickli']",1,1034.0,708.0,1522.0,898.0,540.0,3
42,"['victori', 'chaeronea', 'philip', 'alexand', 'march', 'unoppos', 'peloponnes', 'welcom', 'citi', 'howev', 'reach', 'sparta', 'refus', 'resort', 'war', '33', 'corinth', 'philip', 'establish', 'hellen']",1,1220.0,828.0,1598.0,1280.0,374.0,3
43,"['allianc', 'model', 'old', 'anti-persian', 'allianc', 'greco-persian', 'war', 'includ', 'greek', 'city-st', 'except', 'sparta', 'philip', 'name', 'hegemon', 'often', 'translat', 'suprem', 'command', 'leagu']",1,1115.0,902.0,1284.0,1222.0,526.0,3
46,"['wed', 'cleopatra', 'philip', 'fell', 'love', 'marri', 'much', 'young', 'uncl', 'attalu', 'drink', 'desir', 'macedonian', 'would', 'implor', 'god', 'give', 'law', 'successor', 'kingdom']",1,759.0,737.0,1011.0,469.0,316.0,3
47,"['niec', 'irrit', 'alexand', 'throw', 'one', 'cup', 'head', 'villain', 'said', 'bastard', 'philip', 'take', ""attalus'"", 'part', 'rose', 'would', 'run', 'son', 'good', 'fortun']",1,987.0,785.0,1079.0,514.0,498.0,3
50,"['one', 'illyrian', 'king', 'perhap', 'glaukia', 'treat', 'guest', 'despit', 'defeat', 'battl', 'year', '41', 'howev', 'appear', 'philip', 'never', 'intend', 'disown', 'polit', 'militarili']",1,1279.0,1352.0,1624.0,936.0,1096.0,3
53,"['instead', 'alexand', 'philip', 'heard', 'stop', 'negoti', 'scold', 'alexand', 'wish', 'marri', 'daughter', 'carian', 'explain', 'want', 'better', 'bride', '40', 'philip', 'exil', 'four']",1,870.0,347.0,993.0,313.0,209.0,3
59,"['news', ""philip'"", 'death', 'rous', 'mani', 'state', 'revolt', 'includ', 'thebe', 'athen', 'thessali', 'thracian', 'tribe', 'north', 'macedon', 'news', 'revolt', 'reach', 'alexand', 'respond']",1,1108.0,910.0,1187.0,824.0,560.0,3
66,"['thracian', 'mount', 'haemu', 'macedonian', 'armi', 'attack', 'defeat', 'thracian', 'forc', 'man', 'height', '55', 'macedonian', 'march', 'countri', 'tribal', 'defeat', 'armi', 'near', 'lyginu']",1,963.0,974.0,785.0,1483.0,267.0,4
73,"['western', 'coast', 'island', 'achaemenid', 'rule', '65', '66', 'first', 'went', 'well', 'greek', 'citi', 'western', 'coast', 'anatolia', 'revolt', 'news', 'arriv', 'philip', 'murder']",1,1300.0,1272.0,1475.0,769.0,717.0,3
75,"['number', '38,000', '59', 'drawn', 'macedon', 'variou', 'greek', 'city-st', 'mercenari', 'feudal', 'rais', 'soldier', 'thrace', 'paionia', 'illyria', '67', 'f', 'show', 'intent', 'conquer']",1,721.0,664.0,495.0,564.0,993.0,5
83,"['march', 'back', 'cilicia', 'defeat', 'dariu', 'issu', 'dariu', 'fled', 'battl', 'caus', 'armi', 'collaps', 'left', 'behind', 'wife', 'two', 'daughter', 'mother', 'sisygambi', 'fabul']",1,830.0,815.0,797.0,1088.0,324.0,4
84,"['treasur', '73', 'offer', 'peac', 'treati', 'includ', 'land', 'alreadi', 'lost', 'ransom', '10,000', 'talent', 'famili', 'alexand', 'repli', 'sinc', 'king', 'asia', 'alon', 'decid']",1,1166.0,1220.0,1259.0,1012.0,1301.0,3
110,"['arrian', 'state', 'callisthen', 'page', 'tortur', 'rack', 'punish', 'like', 'die', 'soon', '108', 'remain', 'unclear', 'callisthen', 'actual', 'involv', 'plot', 'prior', 'accus', 'fallen']",1,475.0,541.0,533.0,573.0,426.0,4
117,"['region', 'present', 'straddl', 'eastern', 'afghanistan', 'northern', 'pakistan', 'come', 'submit', 'author', 'omphi', 'indian', 'name', 'ambhi', 'ruler', 'taxila', 'whose', 'kingdom', 'extend', 'indu']",1,694.0,818.0,583.0,414.0,739.0,2
122,"['name', 'puru', 'charg', 'offer', 'favour', 'term', 'narrowli', 'escap', 'lose', 'life', 'hand', 'old', 'enemi', 'subsequ', 'howev', 'two', 'rival', 'reconcil', 'person', 'mediat']",1,724.0,787.0,794.0,624.0,658.0,3
123,"['alexand', 'taxil', 'contribut', 'zealous', 'equip', 'fleet', 'hydasp', 'entrust', 'king', 'govern', 'whole', 'territori', 'river', 'indu', 'consider', 'access', 'power', 'grant', 'death', 'philip']",1,1140.0,1034.0,1339.0,786.0,370.0,3
130,"['honour', 'hors', 'die', 'around', 'time', '122', 'nicaea', 'victori', 'thought', 'locat', 'site', 'modern-day', 'mong', 'punjab', '123', 'philostratu', 'elder', 'life', 'apolloniu', 'tyana']",1,606.0,555.0,522.0,322.0,890.0,5
133,"['east', 'poru', 'kingdom', 'near', 'gang', 'river', 'nanda', 'empir', 'magadha', 'east', 'gangaridai', 'empir', 'bengal', 'region', 'indian', 'subcontin', 'fear', 'prospect', 'face', 'larg']",1,1021.0,1358.0,918.0,708.0,878.0,2
134,"['armi', 'exhaust', 'year', 'campaign', ""alexander'"", 'armi', 'mutini', 'hyphasi', 'river', 'bea', 'refus', 'march', 'farther', 'east', '125', 'river', 'thu', 'mark', 'easternmost', 'extent']",1,902.0,859.0,867.0,1095.0,938.0,4
137,"['eleph', 'told', 'king', 'ganderit', 'praesii', 'await', 'eighti', 'thousand', 'horsemen', 'two', 'hundr', 'thousand', 'footmen', 'eight', 'thousand', 'chariot', 'six', 'thousand', 'war', 'eleph']",1,758.0,768.0,832.0,1075.0,430.0,4
143,"['announc', 'would', 'send', 'over-ag', 'disabl', 'veteran', 'back', 'macedon', 'led', 'crateru', 'troop', 'misunderstood', 'intent', 'mutini', 'town', 'opi', 'refus', 'sent', 'away', 'critic']",1,480.0,471.0,647.0,708.0,270.0,4
164,"['sever', 'natur', 'caus', 'diseas', 'suggest', 'includ', 'malaria', 'typhoid', 'fever', '1998', 'articl', 'new', 'england', 'journal', 'medicin', 'attribut', 'death', 'typhoid', 'fever', 'complic']",1,701.0,787.0,922.0,634.0,835.0,3
165,"['bowel', 'perfor', 'ascend', 'paralysi', '157', 'anoth', 'recent', 'analysi', 'suggest', 'pyogen', 'infecti', 'spondyl', 'mening', '158', 'ill', 'fit', 'symptom', 'includ', 'acut', 'pancreat']",1,340.0,298.0,292.0,221.0,586.0,5
166,"['west', 'nile', 'viru', '159', '160', 'natural-caus', 'theori', 'also', 'tend', 'emphas', ""alexander'"", 'health', 'may', 'gener', 'declin', 'year', 'heavi', 'drink', 'sever', 'wound']",1,987.0,807.0,873.0,706.0,1407.0,5
180,"['perdicca', 'initi', 'claim', 'power', 'instead', 'suggest', ""roxane'"", 'babi', 'would', 'king', 'male', 'crateru', 'leonnatu', 'antipat', 'guardian', 'howev', 'infantri', 'command', 'meleag', 'reject']",1,994.0,1012.0,1054.0,852.0,651.0,3
181,"['arrang', 'sinc', 'exclud', 'discuss', 'instead', 'support', ""alexander'"", 'half-broth', 'philip', 'arrhidaeu', 'eventu', 'two', 'side', 'reconcil', 'birth', 'alexand', 'iv', 'philip', 'iii', 'appoint']",1,941.0,688.0,1291.0,589.0,389.0,3
188,"['first', 'battl', 'asia', 'granicu', 'alexand', 'use', 'small', 'part', 'forc', 'perhap', '13,000', 'infantri', '5,000', 'cavalri', 'much', 'larger', 'persian', 'forc', '40,000', '184']",1,1925.0,1534.0,1769.0,2163.0,3256.0,5
201,"['sens', 'destini', '195', 'plutarch', 'tell', 'ambit', 'kept', 'spirit', 'seriou', 'lofti', 'advanc', 'year', '196', 'howev', 'father', 'philip', ""alexander'"", 'immedi', 'influenti', 'role']",1,659.0,492.0,929.0,450.0,815.0,3
205,"['order', 'father', 'open', 'reason', 'debat', '199', 'calmer', 'side', '—', 'percept', 'logic', 'calcul', 'great', 'desir', 'knowledg', 'love', 'philosophi', 'avid', 'reader', '200']",1,470.0,500.0,596.0,437.0,367.0,3
208,"['glori', 'kudo', '202', 'great', 'charisma', 'forc', 'person', 'characterist', 'made', 'great', 'leader', '175', '198', 'uniqu', 'abil', 'demonstr', 'inabl', 'gener', 'unit', 'macedonia']",1,790.0,731.0,764.0,1028.0,467.0,4
221,"['e', 'g', 'robin', 'lane', 'fox', 'believ', ""alexander'"", 'youth', 'relationship', 'hephaest', 'sexual', 'sexual', 'contact', 'may', 'continu', 'adulthood', 'went', 'social', 'norm', 'least']",1,470.0,406.0,405.0,369.0,698.0,5
223,"['impregn', 'partner', 'thrice', 'eight', 'year', 'higher', 'matrimoni', 'record', 'father', 'age', '229', 'two', 'pregnanc', '—', ""stateira'"", ""barsine'"", '—', 'dubiou', 'legitimaci', '230']",1,668.0,698.0,711.0,511.0,1260.0,5
228,"[""alexander'"", 'immedi', 'legaci', 'introduct', 'macedonian', 'rule', 'huge', 'new', 'swath', 'asia', 'time', 'death', ""alexander'"", 'empir', 'cover', '5,200', '000', 'km2', '2,000', '000']",1,1211.0,1257.0,1201.0,1197.0,2003.0,5
253,"['cosmolog', 'belief', 'disc', 'consist', 'four', 'contin', 'group', 'around', 'central', 'mountain', 'mount', 'meru', 'like', 'petal', 'flower', '253', '255', '256', 'yavanajataka', 'lit']",1,428.0,334.0,294.0,377.0,665.0,5
262,"['write', 'unsuccess', 'plan', 'ad', 'distanc', '12', 'kilometr', '7', '1', '⁄', '2', 'mi', 'purpos', 'cut', 'canal', 'isthmu', 'connect', 'caystrian', 'hermaean', 'bay']",1,443.0,273.0,352.0,408.0,671.0,5
267,"['pseudo-callisthen', 'text', 'underw', 'numer', 'expans', 'revis', 'throughout', 'antiqu', 'middl', 'age', '269', 'contain', 'mani', 'dubiou', 'stori', '267', 'translat', 'numer', 'languag', '270']",1,653.0,747.0,517.0,385.0,844.0,2
274,"['line', 'legitim', 'persian', 'shah', 'mythic', 'figur', 'explor', 'far', 'reach', 'world', 'search', 'fountain', 'youth', '274', 'later', 'persian', 'writer', 'associ', 'philosophi', 'portray']",1,598.0,472.0,728.0,468.0,472.0,3
285,"['1st', '2nd', 'centuri', 'ad', 'biograph', 'plutarch', '1st', '2nd', 'centuri', 'ad', 'final', 'justin', 'whose', 'work', 'date', 'late', '4th', 'centuri', '16', 'arrian']",1,1449.0,1769.0,1003.0,372.0,770.0,2
295,"['modern', 'progress', 'insist', 'epilepsi', 'natur', 'caus', 'yet', 'come', 'explain', 'caus', 'proper', 'treatment', 'would', 'explan', 'short', 'specif', 'evid', 'treatment', 'vagu', 'rival']",1,582.0,504.0,636.0,494.0,1107.0,5
309,"['univers', 'arrang', 'principl', 'music', 'scale', 'number', 'exampl', 'pythagorean', 'held', 'ten', 'heavenli', 'bodi', 'ten', 'perfect', 'number', 'sum', '1', '2', '3', '4']",1,507.0,521.0,544.0,540.0,928.0,5
312,"['plato', 'known', 'contribut', 'philosoph', 'basi', 'scientif', 'method', 'particular', 'scientif', 'concept', 'maintain', 'thing', 'materi', 'world', 'imperfect', 'reflect', 'etern', 'unchang', 'idea', 'mathemat']",1,507.0,407.0,631.0,418.0,452.0,3
319,"['large-scal', 'work', 'univers', 'led', 'develop', 'comprehens', 'theori', 'physic', 'exampl', 'develop', 'version', 'classic', 'theori', 'element', 'earth', 'water', 'fire', 'air', 'aether', 'theori']",1,674.0,646.0,723.0,492.0,957.0,5
321,"['therebi', 'form', 'spheric', 'earth', 'sinc', 'celesti', 'bodi', '–', 'planet', 'star', '–', 'seen', 'move', 'circl', 'conclud', 'must', 'made', 'fifth', 'element', 'call']",1,899.0,855.0,982.0,697.0,1090.0,3
322,"['aristotl', 'could', 'point', 'fall', 'stone', 'rise', 'flame', 'pour', 'water', 'illustr', 'theori', 'law', 'motion', 'emphas', 'common', 'observ', 'friction', 'omnipres', 'phenomenon', '–']",1,698.0,580.0,657.0,445.0,962.0,5
324,"['produc', 'one', 'first', 'work', 'mineralog', 'descript', 'ore', 'miner', 'known', 'world', 'time', 'made', 'shrewd', 'observ', 'properti', 'exampl', 'made', 'first', 'known', 'refer']",1,1588.0,1510.0,1729.0,1097.0,1523.0,3
335,"['interpret', 'hellenist', 'scienc', 'vari', 'wide', 'one', 'extrem', 'view', 'english', 'classic', 'scholar', 'cornford', 'believ', 'import', 'origin', 'work', 'done', 'three', 'centuri', '600']",1,993.0,1332.0,1135.0,480.0,746.0,2
