,Texto,Clase,Clase1,Clase2,Clase3,Clase4,Clase5
0,"['alexand', 'iii', 'macedon', 'greek', 'αλέξανδρος', 'γʹ', 'ὁ', 'μακεδών', 'aléxandro', 'iii', 'ho', 'makedȏn', '20/21', 'juli', '356', 'bc', '–', '10/11', 'june', '323']",1,757.0,324.0,290.0,241.0,321.0
1,"['bc', 'commonli', 'known', 'alexand', 'great', 'greek', 'ὁ', 'μέγας', 'ho', 'méga', 'king', 'basileu', 'ancient', 'greek', 'kingdom', 'macedon', 'member', 'argead', 'dynasti', 'born']",1,1058.0,653.0,477.0,236.0,314.0
2,"['pella', '356', 'bc', 'succeed', 'father', 'philip', 'ii', 'throne', 'age', '20', 'spent', 'rule', 'year', 'unpreced', 'militari', 'campaign', 'western', 'asia', 'northeast', 'africa']",1,987.0,729.0,681.0,512.0,878.0
3,"['age', 'thirti', 'creat', 'one', 'largest', 'empir', 'ancient', 'world', 'stretch', 'greec', 'northwestern', 'india', '1', '2', 'undef', 'battl', 'wide', 'consid', 'one', ""history'""]",1,747.0,771.0,612.0,583.0,618.0
4,"['youth', 'alexand', 'tutor', 'aristotl', 'age', '16', ""philip'"", 'assassin', '336', 'bc', 'succeed', 'father', 'throne', 'inherit', 'strong', 'kingdom', 'experienc', 'armi', 'alexand', 'award']",1,1038.0,442.0,380.0,371.0,486.0
5,"['generalship', 'greec', 'use', 'author', 'launch', ""father'"", 'pan-hellen', 'project', 'lead', 'greek', 'conquest', 'persia', '4', '5', '334', 'bc', 'invad', 'achaemenid', 'empir', 'persian']",1,1063.0,697.0,416.0,391.0,608.0
6,"['empir', 'began', 'seri', 'campaign', 'last', '10', 'year', 'follow', 'conquest', 'anatolia', 'alexand', 'broke', 'power', 'persia', 'seri', 'decis', 'battl', 'notabl', 'battl', 'issu']",1,888.0,709.0,604.0,824.0,633.0
7,"['alexand', 'endeavour', 'reach', 'end', 'world', 'great', 'outer', 'sea', 'invad', 'india', '326', 'bc', 'win', 'import', 'victori', 'paurava', 'battl', 'hydasp', 'eventu', 'turn']",1,814.0,508.0,561.0,549.0,429.0
8,"['back', 'demand', 'homesick', 'troop', 'die', 'babylon', '323', 'bc', 'citi', 'plan', 'establish', 'capit', 'without', 'execut', 'seri', 'plan', 'campaign', 'would', 'begun', 'invas']",1,839.0,403.0,463.0,652.0,379.0
9,"['arabia', 'year', 'follow', 'death', 'seri', 'civil', 'war', 'tore', 'empir', 'apart', 'result', 'establish', 'sever', 'state', 'rule', 'diadochi', ""alexander'"", 'surviv', 'gener', 'heir']",1,967.0,1059.0,867.0,1233.0,682.0
10,"['alexand', 'born', 'pella', 'capit', 'kingdom', 'macedon', '[8', 'sixth', 'day', 'ancient', 'greek', 'month', 'hekatombaion', 'probabl', 'correspond', '20', 'juli', '356', 'bc', 'although']",1,935.0,361.0,292.0,340.0,408.0
11,"['exact', 'date', 'uncertain', '9', 'son', 'king', 'macedon', 'philip', 'ii', 'fourth', 'wife', 'olympia', 'daughter', 'neoptolemu', 'king', 'epiru', '10', 'although', 'philip', 'seven']",1,672.0,732.0,861.0,252.0,345.0
12,"['sever', 'legend', 'surround', ""alexander'"", 'birth', 'childhood', '12', 'accord', 'ancient', 'greek', 'biograph', 'plutarch', 'eve', 'consumm', 'marriag', 'philip', 'olympia', 'dream', 'womb', 'struck']",1,520.0,208.0,298.0,138.0,199.0
13,"['thunderbolt', 'caus', 'flame', 'spread', 'far', 'wide', 'die', 'away', 'sometim', 'wed', 'philip', 'said', 'seen', 'dream', 'secur', ""wife'"", 'womb', 'seal', 'engrav', ""lion'""]",1,276.0,234.0,358.0,211.0,314.0
14,"['imag', '13', 'plutarch', 'offer', 'varieti', 'interpret', 'dream', 'olympia', 'pregnant', 'marriag', 'indic', 'seal', 'womb', ""alexander'"", 'father', 'zeu', 'ancient', 'comment', 'divid', 'whether']",1,359.0,146.0,195.0,132.0,288.0
15,"['day', 'alexand', 'born', 'philip', 'prepar', 'sieg', 'citi', 'potidea', 'peninsula', 'chalcidic', 'day', 'philip', 'receiv', 'news', 'gener', 'parmenion', 'defeat', 'combin', 'illyrian', 'paeonian']",1,646.0,331.0,578.0,373.0,204.0
16,"['armi', 'hors', 'olymp', 'game', 'also', 'said', 'day', 'templ', 'artemi', 'ephesu', 'one', 'seven', 'wonder', 'world', 'burnt', 'led', 'hegesia', 'magnesia', 'say', 'burnt']",1,559.0,453.0,463.0,474.0,424.0
17,"['earli', 'year', 'alexand', 'rais', 'nurs', 'lanik', 'sister', ""alexander'"", 'futur', 'gener', 'cleitu', 'black', 'later', 'childhood', 'alexand', 'tutor', 'strict', 'leonida', 'rel', 'mother']",1,714.0,338.0,350.0,324.0,538.0
18,"['alexand', 'ten', 'year', 'old', 'trader', 'thessali', 'brought', 'philip', 'hors', 'offer', 'sell', 'thirteen', 'talent', 'hors', 'refus', 'mount', 'philip', 'order', 'away', 'alexand']",1,432.0,368.0,543.0,296.0,476.0
19,"['howev', 'detect', ""horse'"", 'fear', 'shadow', 'ask', 'tame', 'hors', 'eventu', 'manag', '12', 'plutarch', 'state', 'philip', 'overjoy', 'display', 'courag', 'ambit', 'kiss', 'son']",1,272.0,238.0,327.0,317.0,132.0
20,"['tear', 'declar', 'boy', 'must', 'find', 'kingdom', 'big', 'enough', 'ambit', 'macedon', 'small', 'bought', 'hors', '17', 'alexand', 'name', 'bucephala', 'mean', 'ox-head', 'bucephala']",1,458.0,290.0,254.0,252.0,297.0
21,"['alexand', '13', 'philip', 'began', 'search', 'tutor', 'consid', 'academ', 'isocr', 'speusippu', 'latter', 'offer', 'resign', 'stewardship', 'academi', 'take', 'post', 'end', 'philip', 'chose']",1,330.0,289.0,487.0,342.0,252.0
22,"['aristotl', 'provid', 'templ', 'nymph', 'mieza', 'classroom', 'return', 'teach', 'alexand', 'philip', 'agre', 'rebuild', ""aristotle'"", 'hometown', 'stageira', 'philip', 'raze', 'repopul', 'buy', 'free']",1,434.0,174.0,378.0,126.0,86.0
