,Texto,Clase,Clase1,Clase2,Clase3,Clase4,Clase5
0,"['alexand', 'iii', 'macedon', 'greek', 'αλέξανδρος', 'γʹ', 'ὁ', 'μακεδών', 'aléxandro', 'iii', 'ho', 'makedȏn', '20/21', 'juli', '356']",1,458.0,204.0,135.0,119.0,47.0
1,"['alexand', 'tutor', 'aristotl', 'age', ""philip'"", 'assassin', '336', 'bc', 'succeed', 'father', 'throne', 'inherit', 'kingdom', 'armi', 'alexand']",1,1096.0,478.0,557.0,314.0,434.0
2,"['alexand', 'endeavour', 'sea', 'invad', 'india', '326', 'bc', 'win', 'import', 'victori', 'paurava', 'battl', 'hydasp', 'demand', 'homesick']",1,792.0,297.0,305.0,317.0,265.0
3,"[""alexander'"", 'cultur', 'diffus', 'syncret', 'conquest', 'engend', 'greco-buddh', 'found', 'twenti', 'bore', 'name', 'alexandria', 'egypt', ""alexander'"", 'settlement']",1,592.0,358.0,205.0,97.0,518.0
4,"['alexand', 'born', 'pella', 'capit', 'kingdom', 'macedon', 'sixth', 'day', 'ancient', 'greek', 'month', 'hekatombaion', 'probabl', 'correspond', 'juli']",1,735.0,311.0,270.0,290.0,188.0
5,"[""alexander'"", 'birth', '12', 'ancient', 'greek', 'biograph', 'plutarch', 'eve', 'consumm', 'marriag', 'philip', 'olympia', 'womb', 'thunderbolt', 'flame']",1,483.0,155.0,360.0,61.0,117.0
6,"['day', 'alexand', 'born', 'philip', 'prepar', 'sieg', 'potidea', 'peninsula', 'chalcidic', 'day', 'philip', 'receiv', 'news', 'parmenion', 'defeat']",1,495.0,263.0,694.0,280.0,106.0
7,"['year', 'alexand', 'lanik', 'sister', ""alexander'"", 'futur', 'cleitu', 'alexand', 'tutor', 'leonida', 'lysimachu', 'acarnania', '15', 'alexand', 'manner']",1,782.0,150.0,226.0,172.0,381.0
8,"['alexand', 'year', 'trader', 'thessali', 'philip', 'hors', 'offer', 'sell', 'thirteen', 'talent', 'hors', 'refus', 'philip', 'order', 'alexand']",1,712.0,284.0,686.0,238.0,404.0
9,"['alexand', 'philip', 'search', 'tutor', 'isocr', 'speusippu', 'offer', 'resign', 'stewardship', 'academi', 'post', 'philip', 'aristotl', 'templ', 'nymph']",1,445.0,97.0,499.0,65.0,60.0
10,"['mieza', 'board', 'alexand', 'children', 'macedonian', 'nobl', 'ptolemi', 'hephaist', 'cassand', 'student', 'friend', 'futur', 'companion', 'aristotl', 'alexand']",1,545.0,102.0,104.0,93.0,42.0
11,"['alexand', 'acquaint', 'persian', 'exil', 'macedonian', 'court', 'receiv', 'philip', 'ii', 'year', 'artaxerx', 'iii', 'artabazo', 'ii', 'daughter']",1,737.0,463.0,682.0,225.0,377.0
12,"['age', ""alexander'"", 'aristotl', 'philip', 'wage', 'war', 'byzant', 'alexand', 'charg', 'regent', 'heir', '12', ""philip'"", 'thracian', 'maedi']",1,612.0,372.0,782.0,557.0,280.0
13,"[""philip'"", 'return', 'dispatch', 'alexand', 'forc', 'subdu', 'revolt', 'southern', 'thrace', 'campaign', 'greek', 'perinthu', 'alexand', ""father'"", 'amphissa']",1,862.0,385.0,523.0,376.0,110.0
14,"['philip', 'armi', 'join', 'son', '338', 'bc', 'march', 'thermopyla', 'stubborn', 'resist', 'theban', 'garrison', 'elatea', 'day', 'march']",1,660.0,339.0,503.0,420.0,199.0
15,"['philip', 'march', 'oppon', 'block', 'chaeronea', 'boeotia', 'battl', 'chaeronea', 'philip', 'command', 'right', 'alexand', 'group', ""philip'"", 'trust']",1,567.0,265.0,848.0,343.0,155.0
16,"['victori', 'chaeronea', 'philip', 'alexand', 'march', 'unoppos', 'peloponnes', 'welcom', 'sparta', 'refus', 'resort', 'war', 'corinth', 'philip', 'establish']",1,587.0,332.0,814.0,691.0,73.0
17,"['philip', 'return', 'pella', 'fell', 'love', 'marri', 'cleopatra', 'eurydic', '338', 'bc', 'attalu', 'marriag', ""alexander'"", 'posit', 'heir']",1,571.0,202.0,457.0,127.0,178.0
18,"['wed', 'cleopatra', 'philip', 'fell', 'love', 'marri', 'attalu', 'drink', 'macedonian', 'implor', 'god', 'law', 'successor', 'kingdom', 'irrit']",1,324.0,291.0,434.0,140.0,75.0
19,"['337', 'bc', 'alexand', 'fled', 'macedon', 'drop', 'brother', 'king', 'alexand', 'epiru', 'dodona', 'capit', 'molossian', 'illyria', 'sought']",1,966.0,313.0,293.0,140.0,177.0
20,"['year', 'persian', 'satrap', 'governor', 'caria', 'pixodaru', 'offer', 'eldest', 'daughter', ""alexander'"", 'half-broth', 'philip', 'arrhidaeu', 'olympia', ""alexander'""]",1,413.0,205.0,407.0,108.0,337.0
21,"['summer', '336', 'bc', 'aega', 'attend', 'wed', 'daughter', 'cleopatra', ""olympias'"", 'brother', 'alexand', 'epiru', 'philip', 'assassin', 'captain']",1,675.0,128.0,320.0,94.0,178.0
22,"['alexand', 'reign', 'elimin', 'potenti', 'rival', 'throne', 'former', 'amynta', 'iv', 'execut', 'macedonian', 'princ', 'lyncesti', 'spare', 'alexand']",1,579.0,219.0,263.0,174.0,64.0
23,"['attalu', 'correspond', 'demosthen', 'possibl', 'defect', 'athen', 'attalu', 'insult', 'alexand', ""cleopatra'"", 'murder', 'alexand', 'danger', 'alexand', 'spare']",1,688.0,66.0,93.0,97.0,141.0
24,"['news', ""philip'"", 'death', 'rous', 'state', 'revolt', 'thebe', 'athen', 'thessali', 'thracian', 'tribe', 'macedon', 'news', 'revolt', 'alexand']",1,482.0,321.0,431.0,310.0,101.0
25,"['alexand', 'thermopyla', 'leader', 'amphictyon', 'leagu', 'corinth', 'athen', 'su', 'peac', 'alexand', 'pardon', 'rebel', 'alexand', 'diogen', 'cynic']",1,670.0,95.0,141.0,197.0,49.0
26,"['alexand', 'want', 'safeguard', '335', 'bc', 'revolt', 'amphipoli', 'countri', 'independ', 'thracian', 'haemu', 'macedonian', 'armi', 'attack', 'defeat']",1,815.0,310.0,273.0,542.0,190.0
27,"['news', 'alexand', 'cleitu', 'king', 'illyria', 'king', 'glaukia', 'taulantii', 'revolt', 'march', 'illyria', 'alexand', 'defeat', 'forc', 'ruler']",1,940.0,666.0,634.0,430.0,62.0
