,Texto,Clase
0,"['alexand', 'iii', 'macedon', 'greek', 'αλέξανδρος', 'γʹ', 'ὁ', 'μακεδών', 'aléxandro', 'iii', 'ho', 'makedȏn', '20/21', 'juli', '356']",1
1,"['alexand', 'greek', 'ὁ', 'μέγας', 'ho', 'méga', 'king', 'basileu', 'ancient', 'greek']",1
2,"['philip', 'ii', 'throne', 'age', 'rule']",1
3,[],1
4,"['alexand', 'tutor', 'aristotl', 'age', ""philip'"", 'assassin', '336', 'bc', 'succeed', 'father', 'throne', 'inherit', 'kingdom', 'armi', 'alexand']",1
5,"['pan-hellen', 'greek', 'conquest', '4', '334', 'bc', 'invad', 'achaemenid', 'empir', 'persian']",1
6,"['battl', 'issu', 'gaugamela', 'overthrew', 'persian']",1
7,"['alexand', 'endeavour', 'sea', 'invad', 'india', '326', 'bc', 'win', 'import', 'victori', 'paurava', 'battl', 'hydasp', 'demand', 'homesick']",1
8,"['plan', 'establish', 'capit', 'execut', 'plan', 'campaign', 'invas', 'year', 'death', 'civil']",1
9,"[""alexander'"", 'cultur', 'diffus', 'syncret', 'conquest', 'engend', 'greco-buddh', 'found', 'twenti', 'bore', 'name', 'alexandria', 'egypt', ""alexander'"", 'settlement']",1
10,"['civil', 'evid', 'tradit', 'byzantin', 'empir', '15th', 'centuri', 'ad', 'presenc', 'greek']",1
11,"['achil', 'featur', 'mythic', 'tradit', 'greek']",1
12,"['alexand', 'born', 'pella', 'capit', 'kingdom', 'macedon', 'sixth', 'day', 'ancient', 'greek', 'month', 'hekatombaion', 'probabl', 'correspond', 'juli']",1
13,"['king', 'macedon', 'philip', 'ii', 'fourth', 'wife', 'olympia', 'daughter', 'neoptolemu', 'king']",1
14,"[""alexander'"", 'birth', '12', 'ancient', 'greek', 'biograph', 'plutarch', 'eve', 'consumm', 'marriag', 'philip', 'olympia', 'womb', 'thunderbolt', 'flame']",1
15,"['womb', 'seal', 'engrav', ""lion'"", 'plutarch', 'offer', 'varieti', 'interpret', 'olympia', 'pregnant']",1
16,"['promulg', 'stori', ""alexander'"", 'parentag', 'various']",1
17,"['day', 'alexand', 'born', 'philip', 'prepar', 'sieg', 'potidea', 'peninsula', 'chalcidic', 'day', 'philip', 'receiv', 'news', 'parmenion', 'defeat']",1
18,"['game', 'day', 'templ', 'artemi', 'ephesu', 'wonder', 'burnt', 'led', 'hegesia', 'magnesia']",1
19,"['year', 'alexand', 'lanik', 'sister', ""alexander'"", 'futur', 'cleitu', 'alexand', 'tutor', 'leonida', 'lysimachu', 'acarnania', '15', 'alexand', 'manner']",1
20,"['alexand', 'year', 'trader', 'thessali', 'philip', 'hors', 'offer', 'sell', 'thirteen', 'talent', 'hors', 'refus', 'philip', 'order', 'alexand']",1
21,"['tame', 'hors', 'manag', '12', 'plutarch', 'state', 'philip', 'overjoy', 'courag', 'ambit']",1
22,"['hors', '17', 'alexand', 'name', 'bucephala']",1
23,"['alexand', 'philip', 'search', 'tutor', 'isocr', 'speusippu', 'offer', 'resign', 'stewardship', 'academi', 'post', 'philip', 'aristotl', 'templ', 'nymph']",1
24,"['philip', 'rebuild', ""aristotle'"", 'hometown', 'stageira', 'philip', 'raze', 'repopul', 'buy', 'free']",1
25,"['mieza', 'board', 'alexand', 'children', 'macedonian', 'nobl', 'ptolemi', 'hephaist', 'cassand', 'student', 'friend', 'futur', 'companion', 'aristotl', 'alexand']",1
26,"['art', ""aristotle'"", 'tutelag', 'alexand', 'passion', 'work', 'homer', 'iliad', 'aristotl', 'annot']",1
27,"['alexand', 'acquaint', 'persian', 'exil', 'macedonian', 'court', 'receiv', 'philip', 'ii', 'year', 'artaxerx', 'iii', 'artabazo', 'ii', 'daughter']",1
28,"['court', '352', '342', 'bc', 'amminap', 'futur', 'satrap', 'alexand', 'persian', 'nobleman']",1
29,"['age', ""alexander'"", 'aristotl', 'philip', 'wage', 'war', 'byzant', 'alexand', 'charg', 'regent', 'heir', '12', ""philip'"", 'thracian', 'maedi']",1
30,"[""philip'"", 'return', 'dispatch', 'alexand', 'forc', 'subdu', 'revolt', 'southern', 'thrace', 'campaign', 'greek', 'perinthu', 'alexand', ""father'"", 'amphissa']",1
31,"['sacrileg', 'philip', 'opportun', 'greek', 'affair', 'thrace', 'order', 'alexand', 'muster', 'armi']",1
32,"['philip', 'armi', 'join', 'son', '338', 'bc', 'march', 'thermopyla', 'stubborn', 'resist', 'theban', 'garrison', 'elatea', 'day', 'march']",1
33,"['vote', 'seek', 'allianc', 'thebe', 'macedonia', 'athen', 'philip', 'sent', 'embassi', 'win']",1
34,"['leagu', 'captur', 'mercenari', 'sent', 'demosthen']",1
35,"['philip', 'march', 'oppon', 'block', 'chaeronea', 'boeotia', 'battl', 'chaeronea', 'philip', 'command', 'right', 'alexand', 'group', ""philip'"", 'trust']",1
36,"['command', 'troop', 'count', 'untest', 'athenian', 'hoplit', 'break', 'alexand', 'break', 'theban']",1
37,"['victori', 'chaeronea', 'philip', 'alexand', 'march', 'unoppos', 'peloponnes', 'welcom', 'sparta', 'refus', 'resort', 'war', 'corinth', 'philip', 'establish']",1
38,"['war', 'greek', 'city-st', 'sparta', 'philip', 'name', 'hegemon', 'translat', 'suprem', 'command']",1
39,"['philip', 'return', 'pella', 'fell', 'love', 'marri', 'cleopatra', 'eurydic', '338', 'bc', 'attalu', 'marriag', ""alexander'"", 'posit', 'heir']",1
40,"['heir', 'alexand', 'half-macedonian', '38', 'wed', 'banquet', 'drunken', 'attalu', 'publicli', 'pray']",1
41,"['wed', 'cleopatra', 'philip', 'fell', 'love', 'marri', 'attalu', 'drink', 'macedonian', 'implor', 'god', 'law', 'successor', 'kingdom', 'irrit']",1
42,"['philip', ""attalus'"", 'son', 'good', 'fortun', 'over-hasti', 'rage', 'wine', 'drunk', 'slip']",1
43,"['337', 'bc', 'alexand', 'fled', 'macedon', 'drop', 'brother', 'king', 'alexand', 'epiru', 'dodona', 'capit', 'molossian', 'illyria', 'sought']",1
44,"['despit', 'defeat', 'battl', 'year', 'appear', 'philip', 'disown', 'polit', 'son', 'accordingli']",1
45,"['year', 'persian', 'satrap', 'governor', 'caria', 'pixodaru', 'offer', 'eldest', 'daughter', ""alexander'"", 'half-broth', 'philip', 'arrhidaeu', 'olympia', ""alexander'""]",1
46,"['heir', 'alexand', 'react', 'send', 'actor', 'thessalu', 'corinth', 'pixodaru', 'offer', ""daughter'""]",1
47,"['carian', 'explain', 'want', 'bride', 'philip']",1
48,"['summer', '336', 'bc', 'aega', 'attend', 'wed', 'daughter', 'cleopatra', ""olympias'"", 'brother', 'alexand', 'epiru', 'philip', 'assassin', 'captain']",1
49,"['vine', 'pursuer', ""alexander'"", 'companion', 'perdicca', 'leonnatu', 'alexand', 'proclaim', 'king', 'nobl']",1
50,"['alexand', 'reign', 'elimin', 'potenti', 'rival', 'throne', 'former', 'amynta', 'iv', 'execut', 'macedonian', 'princ', 'lyncesti', 'spare', 'alexand']",1
51,"['daughter', 'philip', 'burn', 'alexand', 'furiou', 'alexand', 'order', 'murder', 'attalu', 'command']",1
52,"['attalu', 'correspond', 'demosthen', 'possibl', 'defect', 'athen', 'attalu', 'insult', 'alexand', ""cleopatra'"", 'murder', 'alexand', 'danger', 'alexand', 'spare']",1
53,"['news', ""philip'"", 'death', 'rous', 'state', 'revolt', 'thebe', 'athen', 'thessali', 'thracian', 'tribe', 'macedon', 'news', 'revolt', 'alexand']",1
54,"['3,000', 'macedonian', 'cavalri', 'rode', 'thessali', 'found', 'thessalian', 'armi', 'olympu', 'ossa']",1
55,"['surrend', 'ad', 'cavalri', ""alexander'"", 'forc']",1
56,"['alexand', 'thermopyla', 'leader', 'amphictyon', 'leagu', 'corinth', 'athen', 'su', 'peac', 'alexand', 'pardon', 'rebel', 'alexand', 'diogen', 'cynic']",1
57,"['diogen', 'philosoph', 'disdain', 'ask', 'alexand', 'block', 'sunlight', 'repli', 'delight', 'alexand']",1
58,"['appoint', 'command', 'war', 'receiv', 'news']",1
59,"['alexand', 'want', 'safeguard', '335', 'bc', 'revolt', 'amphipoli', 'countri', 'independ', 'thracian', 'haemu', 'macedonian', 'armi', 'attack', 'defeat']",1
60,"['countri', 'tribal', 'defeat', 'armi', 'lyginu', 'tributari', 'danub', 'alexand', 'march', 'day']",1
61,"['news', 'alexand', 'cleitu', 'king', 'illyria', 'king', 'glaukia', 'taulantii', 'revolt', 'march', 'illyria', 'alexand', 'defeat', 'forc', 'ruler']",1
62,"['alexand', 'campaign', 'theban', 'athenian', 'rebel', 'alexand', 'hesit', 'thebe', 'decid', 'fight', 'theban', 'resist', 'ineffect', 'alexand', 'raze']",1
63,"['ancient', 'writer', 'demosthen', 'alexand', 'margit', 'greek', 'μαργίτης', 'greek', 'word', 'margit', 'describ', 'fool', 'useless', 'account', 'margit']",1
64,"['336', 'bc', 'philip', 'ii', 'sent', 'parmenion', 'amynta', 'andromen', 'attalu', 'armi', '10,000', 'anatolia', 'prepar', 'invas', 'free']",1
65,"['coast', 'anatolia', 'revolt', 'news', 'arriv', 'philip', 'murder', 'succeed', 'son', 'alexand']",1
66,"['invas', 'philip', 'ii', ""alexander'"", 'armi', 'hellespont', '334', 'bc', '48,100', 'soldier', '6,100', 'cavalri', 'fleet', 'ship', 'crew']",1
67,"['feudal', 'soldier', 'thrace', 'paionia', 'illyria', 'f', 'show', 'conquer', 'entireti', 'persian']",1
68,"['victori', 'persian', 'forc', 'battl', 'granicu', 'alexand', 'surrend', 'persian', 'provinci', 'capit', 'treasuri', 'sardi', 'ionian', 'coast', 'grant']",1
69,"['forc', 'delic', 'sieg', 'oper', 'persian', 'naval', 'forc', 'halicarnassu', 'caria', 'alexand']",1
70,"['persian', 'satrap', 'caria', 'orontob', 'withdraw']",1
71,"['halicarnassu', 'alexand', 'lycia', 'pamphylian', 'plain', 'assert', 'control', 'persian', 'naval', 'base', 'pamphylia', 'coast', 'held', 'port', 'alexand']",1
72,"['pisidian', 'ancient', 'phrygian', 'capit', 'gordium', 'alexand', 'undid', 'hitherto', 'unsolv', 'gordian']",1
73,"['333', 'bc', 'alexand', 'tauru', 'cilicia', 'paus', 'march', 'syria', 'outmanoeuv', 'dariu', 'larger', 'armi', 'march', 'cilicia', 'defeat']",1
74,"['armi', 'collaps', 'wife', 'daughter', 'sisygambi', 'fabul', 'treasur', 'offer', 'peac', 'treati']",1
75,"['divis', '74', 'alexand', 'possess', 'syria']",1
76,[],1
77,"['alexand', 'destroy', 'tyre', 'rout', 'egypt', 'capitul', 'alexand', 'met', 'resist', 'gaza', 'stronghold', 'fortifi', 'built', 'hill', 'sieg']",1
78,"['stronghold', 'fell', 'alexand', 'receiv', 'shoulder', 'wound', 'tyre', 'militari', 'age', 'put']",1
79,"['alexand', 'egypt', '332', 'bc', 'liber', '0', 'pronounc', 'son', 'deiti', 'amun', 'oracl', 'siwa', 'oasi', 'libyan', '1']",1
80,"['father', 'death', 'currenc', 'depict', 'adorn', 'horn', 'ammon', 'egypt', 'found', 'alexandria-by-egypt']",1
81,"['egypt', '331', 'bce', 'alexand', 'march', 'eastward', 'achaemenid', 'assyria', 'upper', 'mesopotamia', 'iraq', 'defeat', 'dariu', 'battl', 'gaugamela']",1
82,"['arbela', 'gaugamela', 'decis', 'dariu', 'fled', 'ecbatana', 'modern', 'hamadan', 'alexand', 'captur']",1
83,"['babylon', 'alexand', 'susa', 'achaemenid', 'capit', 'captur', 'treasuri', 'sent', 'armi', 'persian', 'capit', 'persepoli', 'persian', 'royal', 'alexand']",1
84,"['storm', 'persian', 'gate', 'modern', 'zagro', 'block', 'persian', 'armi', 'ariobarzan', 'hurri']",1
85,"['enter', 'persepoli', 'alexand', 'troop', 'loot', 'day', 'alexand', 'persepoli', 'month', 'fire', 'broke', 'palac', 'xerx', 'possibl', 'drunken']",1
86,"['persian', 'war', 'xerx', 'plutarch', 'diodoru', ""alexander'"", 'companion', 'hetaera', 'thaï', 'instig']",1
87,"['curtiu', 'alexand', 'regret', 'decis', 'morn']",1
88,"['alexand', 'chase', 'dariu', 'parthia', 'persian', 'king', 'control', 'destini', 'prison', 'bessu', 'bactrian', 'satrap', 'kinsman', 'alexand', 'bessu']",1
89,"['successor', 'artaxerx', 'v', 'launch', 'guerrilla', 'campaign', 'alexand', 'alexand', 'buri', 'dariu']",1
90,"['alexand', 'bessu', 'usurp', 'defeat', 'campaign', 'bessu', 'grand', 'tour', 'alexand', 'found', 'alexandria', 'modern', 'kandahar', 'afghanistan', 'alexandria']",1
91,"['took', 'alexand', 'parthia', 'aria', 'afghanistan', 'drangiana', 'arachosia', 'afghanistan', 'bactria', 'afghanistan']",1
92,"['329', 'bc', 'spitamen', 'held', 'undefin', 'posit', 'satrapi', 'sogdiana', 'betray', 'bessu', 'ptolemi', ""alexander'"", 'trust', 'companion', 'bessu']",1
93,"['nomad', 'armi', 'spitamen', 'sogdiana', 'revolt', 'alexand', 'person', 'defeat', 'scythian', 'battl']",1
94,"['alexand', 'element', 'persian', 'dress', 'custom', 'court', 'custom', 'proskynesi', 'kiss', 'prostrat', 'persian', 'show', 'social', 'greek', 'gestur']",1
95,"['plot', 'reveal', 'offic', 'philota', 'execut', 'fail', 'alert', 'alexand', 'death', 'son', 'necessit', 'death', 'father', 'parmenion', 'charg']",1
96,"['command', 'prevent', 'attempt', 'vengeanc', 'infam', 'alexand', 'person', 'granicu', 'cleitu', 'drunken']",1
97,"['mistak', 'forgotten', 'macedonian', 'favour', 'corrupt']",1
98,"['asian', 'campaign', 'plot', 'reveal', 'instig', 'royal', 'page', 'offici', 'historian', 'callisthen', 'olynthu', 'implic', 'plot', 'anabasi', 'alexand']",1
99,"['rack', 'punish', 'die', 'unclear', 'callisthen', 'plot', 'accus', 'fallen', 'favour', 'attempt']",1
