,Texto,Longitud,Clase
0,"['alexand', 'iii', 'macedon', 'greek', 'αλέξανδρος', 'γʹ', 'ὁ', 'μακεδών', 'aléxandro', 'iii', 'ho', 'makedȏn', '20/21', 'juli', '356', 'bc', '–', '10/11', 'june', '323']",20,1
1,"['bc', 'commonli', 'known', 'alexand', 'great', 'greek', 'ὁ', 'μέγας', 'ho', 'méga', 'king', 'basileu', 'ancient', 'greek', 'kingdom', 'macedon', 'member', 'argead', 'dynasti', 'born']",20,1
2,"['pella', '356', 'bc', 'succeed', 'father', 'philip', 'ii', 'throne', 'age', '20', 'spent', 'rule', 'year', 'unpreced', 'militari', 'campaign', 'western', 'asia', 'northeast', 'africa']",20,1
3,"['age', 'thirti', 'creat', 'one', 'largest', 'empir', 'ancient', 'world', 'stretch', 'greec', 'northwestern', 'india', '1', '2', 'undef', 'battl', 'wide', 'consid', 'one', ""history'""]",20,1
4,"['youth', 'alexand', 'tutor', 'aristotl', 'age', '16', ""philip'"", 'assassin', '336', 'bc', 'succeed', 'father', 'throne', 'inherit', 'strong', 'kingdom', 'experienc', 'armi', 'alexand', 'award']",20,1
5,"['generalship', 'greec', 'use', 'author', 'launch', ""father'"", 'pan-hellen', 'project', 'lead', 'greek', 'conquest', 'persia', '4', '5', '334', 'bc', 'invad', 'achaemenid', 'empir', 'persian']",20,1
6,"['empir', 'began', 'seri', 'campaign', 'last', '10', 'year', 'follow', 'conquest', 'anatolia', 'alexand', 'broke', 'power', 'persia', 'seri', 'decis', 'battl', 'notabl', 'battl', 'issu']",20,1
7,"['alexand', 'endeavour', 'reach', 'end', 'world', 'great', 'outer', 'sea', 'invad', 'india', '326', 'bc', 'win', 'import', 'victori', 'paurava', 'battl', 'hydasp', 'eventu', 'turn']",20,1
8,"['back', 'demand', 'homesick', 'troop', 'die', 'babylon', '323', 'bc', 'citi', 'plan', 'establish', 'capit', 'without', 'execut', 'seri', 'plan', 'campaign', 'would', 'begun', 'invas']",20,1
9,"['arabia', 'year', 'follow', 'death', 'seri', 'civil', 'war', 'tore', 'empir', 'apart', 'result', 'establish', 'sever', 'state', 'rule', 'diadochi', ""alexander'"", 'surviv', 'gener', 'heir']",20,1
10,"['alexand', 'born', 'pella', 'capit', 'kingdom', 'macedon', '[8', 'sixth', 'day', 'ancient', 'greek', 'month', 'hekatombaion', 'probabl', 'correspond', '20', 'juli', '356', 'bc', 'although']",20,1
11,"['exact', 'date', 'uncertain', '9', 'son', 'king', 'macedon', 'philip', 'ii', 'fourth', 'wife', 'olympia', 'daughter', 'neoptolemu', 'king', 'epiru', '10', 'although', 'philip', 'seven']",20,1
12,"['sever', 'legend', 'surround', ""alexander'"", 'birth', 'childhood', '12', 'accord', 'ancient', 'greek', 'biograph', 'plutarch', 'eve', 'consumm', 'marriag', 'philip', 'olympia', 'dream', 'womb', 'struck']",20,1
13,"['thunderbolt', 'caus', 'flame', 'spread', 'far', 'wide', 'die', 'away', 'sometim', 'wed', 'philip', 'said', 'seen', 'dream', 'secur', ""wife'"", 'womb', 'seal', 'engrav', ""lion'""]",20,1
14,"['imag', '13', 'plutarch', 'offer', 'varieti', 'interpret', 'dream', 'olympia', 'pregnant', 'marriag', 'indic', 'seal', 'womb', ""alexander'"", 'father', 'zeu', 'ancient', 'comment', 'divid', 'whether']",20,1
15,"['day', 'alexand', 'born', 'philip', 'prepar', 'sieg', 'citi', 'potidea', 'peninsula', 'chalcidic', 'day', 'philip', 'receiv', 'news', 'gener', 'parmenion', 'defeat', 'combin', 'illyrian', 'paeonian']",20,1
16,"['armi', 'hors', 'olymp', 'game', 'also', 'said', 'day', 'templ', 'artemi', 'ephesu', 'one', 'seven', 'wonder', 'world', 'burnt', 'led', 'hegesia', 'magnesia', 'say', 'burnt']",20,1
17,"['earli', 'year', 'alexand', 'rais', 'nurs', 'lanik', 'sister', ""alexander'"", 'futur', 'gener', 'cleitu', 'black', 'later', 'childhood', 'alexand', 'tutor', 'strict', 'leonida', 'rel', 'mother']",20,1
18,"['alexand', 'ten', 'year', 'old', 'trader', 'thessali', 'brought', 'philip', 'hors', 'offer', 'sell', 'thirteen', 'talent', 'hors', 'refus', 'mount', 'philip', 'order', 'away', 'alexand']",20,1
19,"['howev', 'detect', ""horse'"", 'fear', 'shadow', 'ask', 'tame', 'hors', 'eventu', 'manag', '12', 'plutarch', 'state', 'philip', 'overjoy', 'display', 'courag', 'ambit', 'kiss', 'son']",20,1
20,"['tear', 'declar', 'boy', 'must', 'find', 'kingdom', 'big', 'enough', 'ambit', 'macedon', 'small', 'bought', 'hors', '17', 'alexand', 'name', 'bucephala', 'mean', 'ox-head', 'bucephala']",20,1
21,"['alexand', '13', 'philip', 'began', 'search', 'tutor', 'consid', 'academ', 'isocr', 'speusippu', 'latter', 'offer', 'resign', 'stewardship', 'academi', 'take', 'post', 'end', 'philip', 'chose']",20,1
22,"['aristotl', 'provid', 'templ', 'nymph', 'mieza', 'classroom', 'return', 'teach', 'alexand', 'philip', 'agre', 'rebuild', ""aristotle'"", 'hometown', 'stageira', 'philip', 'raze', 'repopul', 'buy', 'free']",20,1
23,"['mieza', 'like', 'board', 'school', 'alexand', 'children', 'macedonian', 'nobl', 'ptolemi', 'hephaist', 'cassand', 'mani', 'student', 'would', 'becom', 'friend', 'futur', 'gener', 'often', 'known']",20,1
24,"['companion', 'aristotl', 'taught', 'alexand', 'companion', 'medicin', 'philosophi', 'moral', 'religion', 'logic', 'art', ""aristotle'"", 'tutelag', 'alexand', 'develop', 'passion', 'work', 'homer', 'particular', 'iliad']",20,1
25,"['youth', 'alexand', 'also', 'acquaint', 'persian', 'exil', 'macedonian', 'court', 'receiv', 'protect', 'philip', 'ii', 'sever', 'year', 'oppos', 'artaxerx', 'iii', '21', '22', '23']",20,1
26,"['among', 'artabazo', 'ii', 'daughter', 'barsin', 'futur', 'mistress', 'alexand', 'resid', 'macedonian', 'court', '352', '342', 'bc', 'well', 'amminap', 'futur', 'satrap', 'alexand', 'persian']",20,1
27,"['nobleman', 'name', 'sisin', '21', '24', '25', '26', 'gave', 'macedonian', 'court', 'good', 'knowledg', 'persian', 'issu', 'may', 'even', 'influenc', 'innov', 'manag', 'macedonian']",20,1
28,"['age', '16', ""alexander'"", 'educ', 'aristotl', 'end', 'philip', 'wage', 'war', 'byzant', 'leav', 'alexand', 'charg', 'regent', 'heir', 'appar', '12', ""philip'"", 'absenc', 'thracian']",20,1
29,"['upon', ""philip'"", 'return', 'dispatch', 'alexand', 'small', 'forc', 'subdu', 'revolt', 'southern', 'thrace', 'campaign', 'greek', 'citi', 'perinthu', 'alexand', 'report', 'save', ""father'"", 'life']",20,1
30,"['meanwhil', 'citi', 'amphissa', 'began', 'work', 'land', 'sacr', 'apollo', 'near', 'delphi', 'sacrileg', 'gave', 'philip', 'opportun', 'interven', 'greek', 'affair', 'still', 'occupi', 'thrace']",20,1
31,"['order', 'alexand', 'muster', 'armi', 'campaign', 'southern', 'greec', 'concern', 'greek', 'state', 'might', 'interven', 'alexand', 'made', 'look', 'though', 'prepar', 'attack', 'illyria', 'instead']",20,1
32,"['philip', 'armi', 'join', 'son', '338', 'bc', 'march', 'south', 'thermopyla', 'take', 'stubborn', 'resist', 'theban', 'garrison', 'went', 'occupi', 'citi', 'elatea', 'day', 'march']",20,1
33,"['athen', 'thebe', 'athenian', 'led', 'demosthen', 'vote', 'seek', 'allianc', 'thebe', 'macedonia', 'athen', 'philip', 'sent', 'embassi', 'win', 'thebe', 'favour', 'athen', 'contest', '30']",20,1
34,"['philip', 'march', 'amphissa', 'ostens', 'act', 'request', 'amphictyon', 'leagu', 'captur', 'mercenari', 'sent', 'demosthen', 'accept', ""city'"", 'surrend', 'philip', 'return', 'elatea', 'send', 'final']",20,1
35,"['philip', 'march', 'south', 'oppon', 'block', 'near', 'chaeronea', 'boeotia', 'ensu', 'battl', 'chaeronea', 'philip', 'command', 'right', 'wing', 'alexand', 'left', 'accompani', 'group', ""philip'""]",20,1
36,"['trust', 'gener', 'accord', 'ancient', 'sourc', 'two', 'side', 'fought', 'bitterli', 'time', 'philip', 'deliber', 'command', 'troop', 'retreat', 'count', 'untest', 'athenian', 'hoplit', 'follow']",20,1
37,"['thu', 'break', 'line', 'alexand', 'first', 'break', 'theban', 'line', 'follow', ""philip'"", 'gener', 'damag', ""enemy'"", 'cohes', 'philip', 'order', 'troop', 'press', 'forward', 'quickli']",20,1
38,"['victori', 'chaeronea', 'philip', 'alexand', 'march', 'unoppos', 'peloponnes', 'welcom', 'citi', 'howev', 'reach', 'sparta', 'refus', 'resort', 'war', '33', 'corinth', 'philip', 'establish', 'hellen']",20,1
39,"['allianc', 'model', 'old', 'anti-persian', 'allianc', 'greco-persian', 'war', 'includ', 'greek', 'city-st', 'except', 'sparta', 'philip', 'name', 'hegemon', 'often', 'translat', 'suprem', 'command', 'leagu']",20,1
40,"['philip', 'return', 'pella', 'fell', 'love', 'marri', 'cleopatra', 'eurydic', '338', 'bc', '36', 'niec', 'gener', 'attalu', '37', 'marriag', 'made', ""alexander'"", 'posit', 'heir']",20,1
41,"['less', 'secur', 'sinc', 'son', 'cleopatra', 'eurydic', 'would', 'fulli', 'macedonian', 'heir', 'alexand', 'half-macedonian', '38', 'wed', 'banquet', 'drunken', 'attalu', 'publicli', 'pray', 'god']",20,1
42,"['wed', 'cleopatra', 'philip', 'fell', 'love', 'marri', 'much', 'young', 'uncl', 'attalu', 'drink', 'desir', 'macedonian', 'would', 'implor', 'god', 'give', 'law', 'successor', 'kingdom']",20,1
43,"['niec', 'irrit', 'alexand', 'throw', 'one', 'cup', 'head', 'villain', 'said', 'bastard', 'philip', 'take', ""attalus'"", 'part', 'rose', 'would', 'run', 'son', 'good', 'fortun']",20,1
44,"['either', 'over-hasti', 'rage', 'wine', 'drunk', 'made', 'foot', 'slip', 'fell', 'floor', 'alexand', 'reproach', 'insult', 'see', 'said', 'man', 'make', 'prepar', 'pass', 'europ']",20,1
45,"['337', 'bc', 'alexand', 'fled', 'macedon', 'mother', 'drop', 'brother', 'king', 'alexand', 'epiru', 'dodona', 'capit', 'molossian', '40', 'continu', 'illyria', '40', 'sought', 'refug']",20,1
46,"['one', 'illyrian', 'king', 'perhap', 'glaukia', 'treat', 'guest', 'despit', 'defeat', 'battl', 'year', '41', 'howev', 'appear', 'philip', 'never', 'intend', 'disown', 'polit', 'militarili']",20,1
47,"['follow', 'year', 'persian', 'satrap', 'governor', 'caria', 'pixodaru', 'offer', 'eldest', 'daughter', ""alexander'"", 'half-broth', 'philip', 'arrhidaeu', '40', 'olympia', 'sever', ""alexander'"", 'friend', 'suggest']",20,1
48,"['show', 'philip', 'intend', 'make', 'arrhidaeu', 'heir', '40', 'alexand', 'react', 'send', 'actor', 'thessalu', 'corinth', 'tell', 'pixodaru', 'offer', ""daughter'"", 'hand', 'illegitim', 'son']",20,1
49,"['instead', 'alexand', 'philip', 'heard', 'stop', 'negoti', 'scold', 'alexand', 'wish', 'marri', 'daughter', 'carian', 'explain', 'want', 'better', 'bride', '40', 'philip', 'exil', 'four']",20,1
50,"['summer', '336', 'bc', 'aega', 'attend', 'wed', 'daughter', 'cleopatra', ""olympias'"", 'brother', 'alexand', 'epiru', 'philip', 'assassin', 'captain', 'bodyguard', 'pausania', 'e', 'pausania', 'tri']",20,1
51,"['escap', 'trip', 'vine', 'kill', 'pursuer', 'includ', 'two', ""alexander'"", 'companion', 'perdicca', 'leonnatu', 'alexand', 'proclaim', 'king', 'spot', 'nobl', 'armi', 'age', '20', '45']",20,1
52,"['alexand', 'began', 'reign', 'elimin', 'potenti', 'rival', 'throne', 'cousin', 'former', 'amynta', 'iv', 'execut', '48', 'also', 'two', 'macedonian', 'princ', 'region', 'lyncesti', 'kill']",20,1
53,"['spare', 'third', 'alexand', 'lyncest', 'olympia', 'cleopatra', 'eurydic', 'europa', 'daughter', 'philip', 'burn', 'aliv', 'alexand', 'learn', 'furiou', 'alexand', 'also', 'order', 'murder', 'attalu']",20,1
54,"['attalu', 'time', 'correspond', 'demosthen', 'regard', 'possibl', 'defect', 'athen', 'attalu', 'also', 'sever', 'insult', 'alexand', 'follow', ""cleopatra'"", 'murder', 'alexand', 'may', 'consid', 'danger']",20,1
55,"['news', ""philip'"", 'death', 'rous', 'mani', 'state', 'revolt', 'includ', 'thebe', 'athen', 'thessali', 'thracian', 'tribe', 'north', 'macedon', 'news', 'revolt', 'reach', 'alexand', 'respond']",20,1
