,Texto,Clase,Clase1,Clase2,Clase3,Clase4,Clase5
0,"['alexand', 'iii', 'macedon', 'greek', 'αλέξανδρος', 'γʹ', 'ὁ', 'μακεδών', 'aléxandro', 'iii', 'ho', 'makedȏn', '20/21', 'juli', '356', 'bc', '–', '10/11', 'june', '323']",1,1266.0,468.0,457.0,317.0,462.0
1,"['bc', 'commonli', 'known', 'alexand', 'great', 'greek', 'ὁ', 'μέγας', 'ho', 'méga', 'king', 'basileu', 'ancient', 'greek', 'kingdom', 'macedon', 'member', 'argead', 'dynasti', 'born']",1,2073.0,1007.0,737.0,279.0,522.0
2,"['pella', '356', 'bc', 'succeed', 'father', 'philip', 'ii', 'throne', 'age', '20', 'spent', 'rule', 'year', 'unpreced', 'militari', 'campaign', 'western', 'asia', 'northeast', 'africa']",1,1457.0,1144.0,1205.0,698.0,1348.0
3,"['age', 'thirti', 'creat', 'one', 'largest', 'empir', 'ancient', 'world', 'stretch', 'greec', 'northwestern', 'india', '1', '2', 'undef', 'battl', 'wide', 'consid', 'one', ""history'""]",1,1272.0,1307.0,1022.0,829.0,1088.0
4,"['youth', 'alexand', 'tutor', 'aristotl', 'age', '16', ""philip'"", 'assassin', '336', 'bc', 'succeed', 'father', 'throne', 'inherit', 'strong', 'kingdom', 'experienc', 'armi', 'alexand', 'award']",1,1497.0,694.0,620.0,485.0,579.0
5,"['generalship', 'greec', 'use', 'author', 'launch', ""father'"", 'pan-hellen', 'project', 'lead', 'greek', 'conquest', 'persia', '4', '5', '334', 'bc', 'invad', 'achaemenid', 'empir', 'persian']",1,1638.0,1023.0,612.0,501.0,832.0
6,"['empir', 'began', 'seri', 'campaign', 'last', '10', 'year', 'follow', 'conquest', 'anatolia', 'alexand', 'broke', 'power', 'persia', 'seri', 'decis', 'battl', 'notabl', 'battl', 'issu']",1,1573.0,1501.0,1169.0,1317.0,851.0
7,"['alexand', 'endeavour', 'reach', 'end', 'world', 'great', 'outer', 'sea', 'invad', 'india', '326', 'bc', 'win', 'import', 'victori', 'paurava', 'battl', 'hydasp', 'eventu', 'turn']",1,1412.0,838.0,908.0,815.0,552.0
8,"['back', 'demand', 'homesick', 'troop', 'die', 'babylon', '323', 'bc', 'citi', 'plan', 'establish', 'capit', 'without', 'execut', 'seri', 'plan', 'campaign', 'would', 'begun', 'invas']",1,1309.0,781.0,786.0,1013.0,494.0
9,"['arabia', 'year', 'follow', 'death', 'seri', 'civil', 'war', 'tore', 'empir', 'apart', 'result', 'establish', 'sever', 'state', 'rule', 'diadochi', ""alexander'"", 'surviv', 'gener', 'heir']",1,1558.0,1610.0,1467.0,1866.0,1002.0
10,"[""alexander'"", 'legaci', 'includ', 'cultur', 'diffus', 'syncret', 'conquest', 'engend', 'greco-buddh', 'found', 'twenti', 'citi', 'bore', 'name', 'notabl', 'alexandria', 'egypt', ""alexander'"", 'settlement', 'greek']",1,1451.0,913.0,561.0,317.0,978.0
11,"['colonist', 'result', 'spread', 'greek', 'cultur', 'east', 'result', 'new', 'hellenist', 'civil', 'aspect', 'still', 'evid', 'tradit', 'byzantin', 'empir', 'mid', '15th', 'centuri', 'ad']",1,1652.0,1989.0,1113.0,792.0,1297.0
12,"['presenc', 'greek', 'speaker', 'central', 'far', 'eastern', 'anatolia', 'greek', 'genocid', 'popul', 'exchang', '1920', 'alexand', 'becam', 'legendari', 'classic', 'hero', 'mould', 'achil', 'featur']",1,1216.0,720.0,476.0,443.0,513.0
13,"['promin', 'histori', 'mythic', 'tradit', 'greek', 'non-greek', 'cultur', 'undef', 'battl', 'becam', 'measur', 'militari', 'leader', 'compar', 'militari', 'academi', 'throughout', 'world', 'still', 'teach']",1,1297.0,1132.0,848.0,1016.0,671.0
14,"['alexand', 'born', 'pella', 'capit', 'kingdom', 'macedon', '[8', 'sixth', 'day', 'ancient', 'greek', 'month', 'hekatombaion', 'probabl', 'correspond', '20', 'juli', '356', 'bc', 'although']",1,1662.0,628.0,553.0,525.0,612.0
15,"['exact', 'date', 'uncertain', '9', 'son', 'king', 'macedon', 'philip', 'ii', 'fourth', 'wife', 'olympia', 'daughter', 'neoptolemu', 'king', 'epiru', '10', 'although', 'philip', 'seven']",1,1021.0,1272.0,1518.0,309.0,464.0
16,"['sever', 'legend', 'surround', ""alexander'"", 'birth', 'childhood', '12', 'accord', 'ancient', 'greek', 'biograph', 'plutarch', 'eve', 'consumm', 'marriag', 'philip', 'olympia', 'dream', 'womb', 'struck']",1,857.0,381.0,592.0,165.0,303.0
17,"['thunderbolt', 'caus', 'flame', 'spread', 'far', 'wide', 'die', 'away', 'sometim', 'wed', 'philip', 'said', 'seen', 'dream', 'secur', ""wife'"", 'womb', 'seal', 'engrav', ""lion'""]",1,375.0,364.0,600.0,240.0,385.0
18,"['imag', '13', 'plutarch', 'offer', 'varieti', 'interpret', 'dream', 'olympia', 'pregnant', 'marriag', 'indic', 'seal', 'womb', ""alexander'"", 'father', 'zeu', 'ancient', 'comment', 'divid', 'whether']",1,548.0,242.0,298.0,133.0,398.0
19,"['day', 'alexand', 'born', 'philip', 'prepar', 'sieg', 'citi', 'potidea', 'peninsula', 'chalcidic', 'day', 'philip', 'receiv', 'news', 'gener', 'parmenion', 'defeat', 'combin', 'illyrian', 'paeonian']",1,1007.0,614.0,1067.0,564.0,236.0
20,"['armi', 'hors', 'olymp', 'game', 'also', 'said', 'day', 'templ', 'artemi', 'ephesu', 'one', 'seven', 'wonder', 'world', 'burnt', 'led', 'hegesia', 'magnesia', 'say', 'burnt']",1,1018.0,885.0,808.0,911.0,571.0
21,"['earli', 'year', 'alexand', 'rais', 'nurs', 'lanik', 'sister', ""alexander'"", 'futur', 'gener', 'cleitu', 'black', 'later', 'childhood', 'alexand', 'tutor', 'strict', 'leonida', 'rel', 'mother']",1,1163.0,629.0,641.0,493.0,1046.0
22,"['alexand', 'ten', 'year', 'old', 'trader', 'thessali', 'brought', 'philip', 'hors', 'offer', 'sell', 'thirteen', 'talent', 'hors', 'refus', 'mount', 'philip', 'order', 'away', 'alexand']",1,1084.0,569.0,1020.0,397.0,653.0
23,"['howev', 'detect', ""horse'"", 'fear', 'shadow', 'ask', 'tame', 'hors', 'eventu', 'manag', '12', 'plutarch', 'state', 'philip', 'overjoy', 'display', 'courag', 'ambit', 'kiss', 'son']",1,559.0,585.0,742.0,517.0,278.0
24,"['tear', 'declar', 'boy', 'must', 'find', 'kingdom', 'big', 'enough', 'ambit', 'macedon', 'small', 'bought', 'hors', '17', 'alexand', 'name', 'bucephala', 'mean', 'ox-head', 'bucephala']",1,681.0,456.0,374.0,292.0,359.0
25,"['alexand', '13', 'philip', 'began', 'search', 'tutor', 'consid', 'academ', 'isocr', 'speusippu', 'latter', 'offer', 'resign', 'stewardship', 'academi', 'take', 'post', 'end', 'philip', 'chose']",1,674.0,463.0,898.0,456.0,283.0
26,"['aristotl', 'provid', 'templ', 'nymph', 'mieza', 'classroom', 'return', 'teach', 'alexand', 'philip', 'agre', 'rebuild', ""aristotle'"", 'hometown', 'stageira', 'philip', 'raze', 'repopul', 'buy', 'free']",1,657.0,293.0,706.0,163.0,92.0
