,TextoCrudo,TextoLimpio,Clase1,Clase2,Clase3,Clase4,Clase5,Predicción,CLASE
0,"The Roman–Parthian Wars (54 BC – 217 AD) were a series of conflicts between the Parthian Empire and the Roman Republic and Roman Empire. It was the first series of conflicts in what would be 682 years of Roman–Persian Wars.
",,,,,,,,1
1,"Battles between the Parthian Empire and the Roman Republic began in 54 BC.[1] This first incursion against Parthia was repulsed, notably at the Battle of Carrhae (53 BC). During the Roman Liberators' civil war of the 1st Century BC, the Parthians actively supported Brutus and Cassius, invading Syria, and gaining territories in the Levant.  However, the conclusion of the second Roman civil war brought a revival of Roman strength in Western Asia.[2]
",,,,,,,,1
2,"In 113 AD, the Roman Emperor Trajan made eastern conquests and the defeat of Parthia a strategic priority,[3] and successfully overran the Parthian capital, Ctesiphon, installing Parthamaspates of Parthia as a client ruler.  Hadrian, Trajan's successor, reversed his predecessor's policy, intending to re-establish the Euphrates as the limit of Roman control.  However, in the 2nd century, war over Armenia broke out again in 161, when Vologases IV defeated the Romans there.  A Roman counter-attack under Statius Priscus defeated the Parthians in Armenia and installed a favored candidate on the Armenian throne, and an invasion of Mesopotamia culminated in the sack of Ctesiphon in 165.
",,,,,,,,1
3,"In 195, another Roman invasion of Mesopotamia began under the Emperor Septimius Severus, who occupied Seleucia and Babylon, and then sacked Ctesiphon yet again in 197.  Parthia ultimately fell not to the Romans, but to the Sassanids under Ardashir I, who entered Ctesiphon in 226.  Under Ardashir and his successors, Persian-Roman conflict continued between the Sassanid Empire and Rome.
",,,,,,,,1
4,"After triumphing in the Seleucid–Parthian wars and annexing large amounts of the Seleucid Empire the Parthians began to look west for more territory to expand into. Parthian enterprise in the West began in the time of Mithridates I; during his reign, the Arsacids succeeded in extending their rule into Armenia and Mesopotamia. This was the beginning of an ""international role"" for the Parthian empire, a phase that also entailed contacts with Rome.[4] Mithridates II conducted unsuccessful negotiations with Sulla for a Roman–Parthian alliance (c. 105 BC).[5][verification needed]
",,,,,,,,1
5,"By the same time the Parthians started their rise, they established eponymous branches in the Caucasus, namely the Arsacid dynasty of Armenia, the Arsacid dynasty of Iberia, and the Arsacid Dynasty of Caucasian Albania.
",,,,,,,,1
6,"After 90 BC, the Parthian power was diminished by dynastic feuds, while at the same time, Roman power in Anatolia collapsed.  Roman–Parthian contact was restored when Lucullus invaded Southern Armenia and defeated Tigranes in 69 BC, however, again no definite agreement was made.[6]
",,,,,,,,1
7,"When Pompey took charge of the war in the East, he re-opened negotiations with Phraates III; they came to an agreement and Roman–Parthian troops invaded Armenia in 66/65 BC, but soon a dispute arose over Euphrates boundary between Rome and Parthia. Pompey refused to recognize the title of ""King of Kings"" for Phraates, and offered arbitation between Tigranes and the Parthian king over Corduene. Finally, Phraates asserted his control over Mesopotamia, except for the western district of Osroene, which became a Roman dependency.[7]
",,,,,,,,1
8,"In 53 BC, Crassus led an invasion of Mesopotamia, with catastrophic results; at the Battle of Carrhae, Crassus and his son Publius were defeated and killed by a Parthian army under General Surena. The bulk of his force was either killed or captured; of 42,000 men, about half died, a quarter made it back to Syria, and the remainder became prisoners of war.[8] Rome was humiliated by this defeat, and this was made even worse by the fact that the Parthians had captured several Legionary Eagles. It is also mentioned by Plutarch that the Parthians found the Roman prisoner of war that resembled Crassus the most, dressed him as a woman and paraded him through Parthia for all to see. This, however, could easily be Roman propaganda. Orodes II, with the rest of the Parthian Army, defeated the Armenians and captured their country. However, Surena's victory invoked the jealousy of the Parthian king, and he ordered Surena's execution. Following Surena's death, Orodes II himself took command of the Parthian army and led an unsuccessful military campaign into Syria. The Battle of Carrhae was one of the first major battles between the Romans and Parthians.
",,,,,,,,1
9,"The following year, the Parthians launched raids into Syria, and in 51 BC mounted a major invasion led by the crown prince Pacorus and the general Osaces; they besieged Cassius in Antioch, and caused considerable alarm in the Roman provinces in Asia. Cicero, who had been chosen governor of adjacent Cilicia for that year, marched with two legions to lift the siege.[9] Pacorus fell back, but was ambushed in his retreat by Cassius near Antigonea and Osaces was killed.[10]
",,,,,,,,1
